FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
-5.470463,1.898239,3.000000,0.050000,4.500000,8.250000
7.580068,73.297928,5.000000,0.010000,3.000000,8.250000
9.703379,70.728737,6.000000,0.050000,1.500000,8.250000
13.950000,59.416859,8.000000,0.000000,0.000000,8.250000
56.509998,71.343765,-60.000000,5.520000,70.500000,9.750000
56.842785,82.289886,-59.000000,5.410000,69.000000,9.750000
57.508354,66.840553,-57.000000,5.250000,67.500000,9.750000
57.841137,44.189106,-56.000000,5.120000,66.000000,9.750000
58.506706,25.372696,-54.000000,4.950000,64.500000,9.750000
58.305019,0.000000,-53.000000,4.750000,63.000000,9.750000
57.821186,24.762129,-51.000000,4.570000,61.500000,9.750000
57.579269,43.082298,-50.000000,4.400000,60.000000,9.750000
57.095436,2.595654,-48.000000,4.250000,58.500000,9.750000
56.853519,3.600391,-47.000000,4.070000,57.000000,9.750000
56.209629,0.257707,-45.000000,3.840000,55.500000,9.750000
55.691746,0.497032,-44.000000,3.800000,54.000000,9.750000
54.655979,1.769061,-42.000000,3.660000,52.500000,9.750000
54.138096,1.313716,-41.000000,3.560000,51.000000,9.750000
53.102333,0.498242,-39.000000,3.390000,49.500000,9.750000
52.472015,0.505495,-38.000000,3.270000,48.000000,9.750000
51.055111,0.568669,-36.000000,3.100000,46.500000,9.750000
50.346661,0.432832,-35.000000,3.000000,45.000000,9.750000
48.929760,0.062372,-33.000000,2.860000,43.500000,9.750000
48.221310,0.041578,-32.000000,2.750000,42.000000,9.750000
46.882248,0.056049,-30.000000,2.650000,40.500000,9.750000
46.226040,0.056641,-29.000000,2.390000,39.000000,9.750000
44.913620,0.007361,-27.000000,2.210000,37.500000,9.750000
43.495892,0.002015,-26.000000,2.110000,36.000000,9.750000
42.944992,0.315954,-24.000000,1.990000,34.500000,9.750000
42.619957,0.574811,-23.000000,1.890000,33.000000,9.750000
42.096050,3.174607,-21.000000,1.750000,31.500000,9.750000
41.834095,5.818660,-20.000000,1.620000,30.000000,9.750000
41.079941,56.656742,-18.000000,1.450000,28.500000,9.750000
40.594448,28.932499,-17.000000,1.360000,27.000000,9.750000
39.623463,0.387614,-15.000000,1.310000,25.500000,9.750000
39.137970,23.497686,-14.000000,1.130000,24.000000,9.750000
35.988392,11.097803,-12.000000,0.920000,22.500000,9.750000
34.331612,16.302723,-11.000000,0.710000,21.000000,9.750000
30.871883,5.444565,-9.000000,0.600000,19.500000,9.750000
28.742058,7.389818,-8.000000,0.430000,18.000000,9.750000
23.066990,0.149209,-6.000000,0.310000,16.500000,9.750000
20.120096,0.310113,-5.000000,0.250000,15.000000,9.750000
8.409826,97.675354,-3.000000,0.150000,13.500000,9.750000
-0.735979,30.963892,-2.000000,0.080000,12.000000,9.750000
-4.899000,83.599480,0.000000,0.040000,9.000000,9.750000
-4.899000,98.887863,0.000000,0.080000,10.500000,9.750000
-2.653245,60.570980,2.000000,0.020000,7.500000,9.750000
-0.053585,96.410751,3.000000,0.000000,6.000000,9.750000
6.068239,85.748146,5.000000,0.050000,4.500000,9.750000
8.202916,87.434769,6.000000,0.010000,3.000000,9.750000
12.240972,72.445152,8.000000,0.050000,1.500000,9.750000
14.260000,28.902561,9.000000,0.000000,0.000000,9.750000
58.529999,0.244053,-59.000000,5.520000,70.500000,11.250000
56.424080,78.458664,-57.000000,5.410000,69.000000,11.250000
55.371120,86.071304,-56.000000,5.250000,67.500000,11.250000
53.265202,92.666245,-54.000000,5.120000,66.000000,11.250000
52.212242,99.137276,-53.000000,4.950000,64.500000,11.250000
50.850685,99.765015,-51.000000,4.750000,63.000000,11.250000
50.268841,99.816994,-50.000000,4.570000,61.500000,11.250000
49.105148,99.750648,-48.000000,4.400000,60.000000,11.250000
48.523304,99.328720,-47.000000,4.250000,58.500000,11.250000
47.390682,99.398445,-45.000000,4.070000,57.000000,11.250000
46.844963,98.665062,-44.000000,3.840000,55.500000,11.250000
45.753529,99.734047,-42.000000,3.800000,54.000000,11.250000
45.207809,99.818924,-41.000000,3.660000,52.500000,11.250000
44.116371,99.779266,-39.000000,3.560000,51.000000,11.250000
43.172752,99.857864,-38.000000,3.390000,49.500000,11.250000
41.260895,99.798378,-36.000000,3.270000,48.000000,11.250000
40.304970,99.906723,-35.000000,3.100000,46.500000,11.250000
38.393116,96.922104,-33.000000,3.000000,45.000000,11.250000
37.726093,99.708206,-32.000000,2.860000,43.500000,11.250000
37.295799,98.284981,-30.000000,2.750000,42.000000,11.250000
37.080654,85.371452,-29.000000,2.650000,40.500000,11.250000
36.650360,28.572163,-27.000000,2.390000,39.000000,11.250000
36.194557,6.286638,-26.000000,2.210000,37.500000,11.250000
34.934406,1.164134,-24.000000,2.110000,36.000000,11.250000
34.304333,0.098330,-23.000000,1.990000,34.500000,11.250000
33.044182,0.224752,-21.000000,1.890000,33.000000,11.250000
32.414104,0.000000,-20.000000,1.750000,31.500000,11.250000
30.015011,0.012919,-18.000000,1.620000,30.000000,11.250000
28.794807,0.000000,-17.000000,1.450000,28.500000,11.250000
26.354404,1.491909,-15.000000,1.360000,27.000000,11.250000
25.349350,0.030213,-14.000000,1.310000,25.500000,11.250000
23.348022,0.854974,-12.000000,1.130000,24.000000,11.250000
22.347359,0.054422,-11.000000,0.920000,22.500000,11.250000
20.346031,0.179024,-9.000000,0.710000,21.000000,11.250000
19.517771,0.000000,-8.000000,0.600000,19.500000,11.250000
17.528128,0.005372,-6.000000,0.430000,18.000000,11.250000
12.784209,48.117241,-5.000000,0.310000,16.500000,11.250000
1.069762,63.924259,-3.000000,0.250000,15.000000,11.250000
-3.240875,36.204540,-2.000000,0.150000,13.500000,11.250000
-7.411000,98.460075,0.000000,0.080000,10.500000,11.250000
-7.411000,96.563675,0.000000,0.080000,12.000000,11.250000
-6.137719,91.587845,2.000000,0.040000,9.000000,11.250000
-3.963314,0.000000,3.000000,0.020000,7.500000,11.250000
5.586016,99.615494,5.000000,0.000000,6.000000,11.250000
9.854712,52.000946,6.000000,0.050000,4.500000,11.250000
12.916900,36.563076,8.000000,0.010000,3.000000,11.250000
14.290195,73.427071,9.000000,0.050000,1.500000,11.250000
16.459999,7.389345,11.000000,0.000000,0.000000,11.250000
58.529999,4.529543,-57.000000,5.520000,70.500000,12.750000
57.542877,87.571609,-56.000000,5.410000,69.000000,12.750000
55.568626,94.657623,-54.000000,5.250000,67.500000,12.750000
54.581501,54.888023,-53.000000,5.120000,66.000000,12.750000
52.607254,89.650635,-51.000000,4.950000,64.500000,12.750000
51.623669,93.434624,-50.000000,4.750000,63.000000,12.750000
50.357338,96.298492,-48.000000,4.570000,61.500000,12.750000
49.724171,95.149200,-47.000000,4.400000,60.000000,12.750000
48.457840,92.008003,-45.000000,4.250000,58.500000,12.750000
47.824673,97.363266,-44.000000,4.070000,57.000000,12.750000
46.560837,93.596527,-42.000000,3.840000,55.500000,12.750000
