FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
46.072762,45.487209,-42.000000,3.390000,49.500000,6.750000
45.397991,28.578545,-41.000000,3.270000,48.000000,6.750000
46.357838,0.816565,-39.000000,3.100000,46.500000,6.750000
46.837765,0.000000,-38.000000,3.000000,45.000000,6.750000
47.797611,0.286566,-36.000000,2.860000,43.500000,6.750000
47.704422,1.362138,-35.000000,2.750000,42.000000,6.750000
47.346767,1.952452,-33.000000,2.650000,40.500000,6.750000
47.167938,23.345501,-32.000000,2.390000,39.000000,6.750000
46.810287,54.219055,-30.000000,2.210000,37.500000,6.750000
46.631458,94.424309,-29.000000,2.110000,36.000000,6.750000
44.933334,92.305534,-27.000000,1.990000,34.500000,6.750000
44.041489,92.860779,-26.000000,1.890000,33.000000,6.750000
42.257801,99.373093,-24.000000,1.750000,31.500000,6.750000
41.475639,99.223969,-23.000000,1.620000,30.000000,6.750000
40.605976,95.133492,-21.000000,1.450000,28.500000,6.750000
40.171143,93.600845,-20.000000,1.360000,27.000000,6.750000
39.301476,86.372360,-18.000000,1.310000,25.500000,6.750000
38.866642,74.912933,-17.000000,1.130000,24.000000,6.750000
37.996979,70.685493,-15.000000,0.920000,22.500000,6.750000
36.947014,48.394661,-14.000000,0.710000,21.000000,6.750000
33.918995,76.051788,-12.000000,0.600000,19.500000,6.750000
32.404984,81.332245,-11.000000,0.430000,18.000000,6.750000
29.376963,98.551926,-9.000000,0.310000,16.500000,6.750000
27.862953,97.778725,-8.000000,0.250000,15.000000,6.750000
23.578993,82.819199,-6.000000,0.150000,13.500000,6.750000
21.414909,64.875206,-5.000000,0.080000,12.000000,6.750000
16.881262,38.731987,-3.000000,0.080000,10.500000,6.750000
14.003702,98.376289,-2.000000,0.040000,9.000000,6.750000
9.544467,99.359032,0.000000,0.000000,6.000000,6.750000
9.544467,97.562370,0.000000,0.020000,7.500000,6.750000
7.674788,99.973877,2.000000,0.050000,4.500000,6.750000
8.445340,3.456993,3.000000,0.010000,3.000000,6.750000
16.938976,0.564941,5.000000,0.050000,1.500000,6.750000
